AG1 | Leitfragen | ∙ Was kann Bezirk, WBM, BIM, was kann die Initiative? und der Senat? 
AG1 | Leitfragen | ∙ Worin liegt der Mehrwert der angestrebten Kooperation?
AG1 | Leitfragen | ∙ Wie sieht eine gelingende Kooperation mit der Stadt aus?
AG1 | Leitfragen |∙ Wie sieht eine gelingende Kooperation mit der Stadt aus?
AG1 | Leitfragen | ∙ Was müssen wir aus den Fehlern der Vergangenheit lernen?

AG1 |Einführende Worte | Die ZKB ist nicht Auftragnehmer geworden. Das wäre zwar  finanziell besser und endlich bezahlte Arbeit möglich gewesen.
AG1 |Einführende Worte | Wir wollten nicht (irgendwie immer weisungsgebundener) Auftragnehmer der BIM, sondern Kooperationspartner werden. das soll uns also unabhängiger machen.
AG1 |Einführende Worte |Jede/r bringt diejenigen Ressourcen ein, über die er/ sie verfügt, die sollen erst einmal „auf einen Haufen geworfen“ und gemeinsam genutzt werden; bei uns ist das in erster Linie das eigene Arbeitspensum. 
AG1 |Einführende Worte | Bei der BIM aber auch Geld, zB für Beauftragung der Moderation oder Herrichtung des Fahrrad-Flöckner- Laden als gemeinsame Vor-Ort-Präsenz.
AG1 |Einführende Worte |BIM hat Moderation für die derzeitige Phase in Abstimmung mit uns ausgeschrieben; Vergabeentscheidung erfolgt gemeinsam voraussichtlich im Februar. 
Das soll uns alle entlasten.
AG1 |Diskussion	 | Was kann die Initiative?
AG1 |Diskussion	 |– Für ein gewisses Level der Gleichberechtigung braucht es capacity building.
AG1 |Diskussion	 |– Nur auf der Initiative aufbauen ist schwierig 
AG1 |Diskussion	 |– diese ist dafür nicht strukturell abgesichert. Außerdem nicht deren klassische Arbeitsaufgabe
AG1 |Diskussion	 |– Ergebnis: im Prozess soll die Initiative nicht nur Ressourcen verbessern, sondern Akteure auch auf zivilgesellschaftlicher Seite stärken
AG1 |Diskussion	 |– Suche nach einem Modell ist essentiell. Dabei immer im Hinterkopf haben, wie Aufgaben in der Realität ökonomisch geleistet werden können.
AG1 |Diskussion	 |– Wirtschaftsdemokratisierung
