title	utterance	type	link
kommentieren und hören	Schreibe einen Kommentar und höre, wie sich das anhört	KV	
ob das Modul bei Euch einen Namen hatte?	Wir haben uns gefragt, ob das Modul bei Euch einen Namen hatte?	KV	
das  KI Modul heisst BERT	Wir denken, das  KI Modul heisst BERT, weil die Studenten auf Bert aus der Sesamstrasse verweisen wollen	KV	
BERT erkennt, was Kommentarier sagen wollen. 	BERT erkennt, was Kommentarier sagen wollen. 	KV	
BERTs technische Vorgehensweise	BERTs technische Vorgehensweise ist die, dass es die Wahrscheinlichkeiten von Wortkombinationen berechnet	KV	
"zweite charge ""Kommentarvorlage"""	"Hier kommt eine neue ""Kommentarvorlage"""	KV	
Podiumsdiskussion Stupa	Die Podiumsdiskussion des Studendenparlaments ist gut verlaufen, obwohl die Teilnahme zurückhaltend war	KV	 
Stupa lädt ein	Das Studentenparlament lädt Euch zu einem Gespräch mit der Partei VOLT ein.	KV	
Mehrheit gegen Podiumsdiskussion	Zu diesem Gespräch wird es keine Podiumsdiskussion geben, denn das hat die Mehrheit der Stimmberechtigten per Umfrage ausgeschlossen	KV	
Tamponautomat	Fachbereich 4 entwirft ein System für einen Tamponautomat, der allen Inhaberinnen mit Studentenausweis zur Verfügung stehen soll	KV	
Merch Grössen	Es wird eine WhatsApp Gruppe zur Erkundung der Größen für Merchandiseprodukte geben	KV	
keine Wahlvideos	Kai vom Studentenparlament schlägt vor die Mehrheitsentscheidung gegen Wahlvideos zu respektieren	KV	
Montagsfrage Fahrradstation	Bezüglich der Montagsfrage 77, Thema Fahrradstationen, gibt es keine weitere Informationen	KV	
Mühlheim Charge	KV zu Mühlheim	KV	
Mülheim an der Ruhr ist spannend und abwechslungsreich	Mülheim an der Ruhr ist spannend und abwechslungsreich und mit über 50 Prozent Grün- und Waldflächen ein attraktiver Wohnort zwischen Düsseldorf und dem Ruhrgebiet	KV	https://www.hochschule-ruhr-west.de/studium-lehre/leben-an-der-hrw/freizeit/
Mülheimer Altstadt 	Neben der Mülheimer Altstadt (u. a. Ronja und Mausefalle) und der Schlossstraße (mit u. a. Rick´s Café, Alex, Perfetto, Leonardo Cafe Mülheim) verfügt Mülheim mit der Sandstaße in der Nähe des S-Bahnhof Mülheim West über eine kleine Partymeile.	KV	https://www.hochschule-ruhr-west.de/studium-lehre/leben-an-der-hrw/freizeit/
Hausnummern 154 und 162	Zwischen den Hausnummern 154 und 162 gibt es für jede/n etwas.	KV	https://www.hochschule-ruhr-west.de/studium-lehre/leben-an-der-hrw/freizeit/
Ballermann	Ballermann 6 (www.ballermann6.de)	KV	https://www.hochschule-ruhr-west.de/studium-lehre/leben-an-der-hrw/freizeit/
Inner Circle	The inner Circle (www.tic-club.de)	KV	https://www.hochschule-ruhr-west.de/studium-lehre/leben-an-der-hrw/freizeit/
Luck in a Cup	Luck in a Cup (www.luckinacup.com/mulheim	KV	https://www.hochschule-ruhr-west.de/studium-lehre/leben-an-der-hrw/freizeit/
Franky's	Franky's am Güterbahnhof (www.frankys.tv)	KV	https://www.hochschule-ruhr-west.de/studium-lehre/leben-an-der-hrw/freizeit/
Laserball	Laserball (www.laserball.de)	KV	https://www.hochschule-ruhr-west.de/studium-lehre/leben-an-der-hrw/freizeit/
Die Tomate	Darüber hinaus locken dirket an der Ruhr die urige Kneipe Die Tomate (http://www.tomate-muelheim.de) und Franky's Bar im Ruhrkristall (www.frankys-bar.de)	KV	https://www.hochschule-ruhr-west.de/studium-lehre/leben-an-der-hrw/freizeit/
Die Stadt begeistert und reißt mit.	Vierzehn Kilometer Fluss. Die Stadt begeistert und reißt mit.	KV	https://www.hochschule-ruhr-west.de/studium-lehre/leben-an-der-hrw/freizeit/
kurzweilige Stunden verbringen. 	In der Altstadt oder am Wasserbahnhof auf der Schleuseninsel lassen sich kurzweilige Stunden verbringen. 	KV	https://www.hochschule-ruhr-west.de/studium-lehre/leben-an-der-hrw/freizeit/
Musik Charge	KV Musik	KV	
"Die Kategorie ""praise"" klingt gerade so."	"Die Kategorie ""praise"" klingt gerade so. Wie klingt das für Euch?"	KV	
"Die Kategorie ""insinuation"" klingt gerade so."	"Die Kategorie ""insinuation"" klingt gerade so. Kommen Euch dazu Assoziationen? "	KV	
"Die Kategorie ""lecture"" ist heute der Bass."	"Die Kategorie ""lecture"" ist heute der Bass. Oder wie würde für Euch das spontan klingen"	KV	
"Die Kategorie ""dissent"" klingt gerade so. "	"Die Kategorie ""dissent"" klingt gerade so. Ist das ok so?"	KV	
"Die Kategorie ""concession"" macht einen Beat"	"Die Kategorie ""concession"" macht einen Beat. Hättet ihr das anders gedacht?"	KV	
Klangelemente gleichzeitig laufen, werden leiser	Insgesamt betrachtet ist es so, dass diese verschiedene Klangelemente gleichzeitig laufen, aber im Verlauf der Zeit immer leiser werden, wenn länger kein entsprechender Kommentar eingeht	KV	
am häufigsten eintreffenden Kategorie ist laut	Daraus folgt, die Stimmung favorisiert die am häufigsten eintreffenden Kategorie.	KV	
Charge Pizza	KV zu Programmierer Stereotypen	KV	
