cat	utterance	type	link
dissence	Nachrichten erzählen es fliesse Blut	lyrics	
dissence	Kommentariat sei auf der Hut	lyrics	
dissence	Noch so eine Zeile dann ist gut	lyrics	
dissence	Aufgepeitscht zu werden macht uns Mut	lyrics	
dissence	Gibt es einen Ort für meine Wut	lyrics	
dissence	ja wir sitzen gern in eignem Sud	lyrics	
insinuation	Hast du dich verwählt?	lyrics	
insinuation	Stehst du nur im Weg?	lyrics	
insinuation	Sag mir was dich gequält?	lyrics	
insinuation	Bist du ausgewählt?	lyrics	
insinuation	Hast dich gut erzählt?	lyrics	
insinuation	Bei ner guten Tasse Tee	lyrics	
concession	Im Meer zu schwimmen - Signale geben	lyrics	
concession	Hervorzustechen - gefunden werden	lyrics	
praise	Immer sagst du irgendwas	lyrics	
praise	Und damit meinst du sicher dies und das	lyrics	
praise	Komm und sag mir irgendwas	lyrics	
praise	Und impliziere damit dies und das	lyrics	
praise	Sicher war es nur aus Spass	lyrics	
praise	Dass du mich abgrundtief beleidigt hast	lyrics	
praise	Sag worauf ich achten soll	lyrics	
praise	Damit ich dir genügend Achtung zoll	lyrics	
lecture	Willst du es verstehen	lyrics	
lecture	Musst du schon woanders stehen	lyrics	
lecture	Hast du es gesehen	lyrics	
lecture	Oder musst du woanders stehen?	lyrics	
	Für viele Rapper gilt ein bisschen Zeit im Gefängnis als Ausweis der Street-Credibility. Nur in Spanien scheint die Sache anders zu liegen.	article	https://www.zeit.de/2021/09/pablo-hasel-spanien-gefaengnis-rap-texte
	Seit der katalanische Rapper Pablo Hasél am Dienstag letzter Woche in seiner Heimatstadt Lleida verhaftet wurde, kommt es jede Nacht quer durchs Land zu Solidaritätskundgebungen.	article	https://www.zeit.de/2021/09/pablo-hasel-spanien-gefaengnis-rap-texte
	In Barcelona versammelten sich am Wochenende 6000 Menschen, um seine Freilassung zu fordern, aber auch die Abschaffung eines Gesetzes aus dem Jahr 2015, das die Verherrlichung von Terrorgruppen und die Beleidigung der Monarchie unter Strafe stellt.	article	https://www.zeit.de/2021/09/pablo-hasel-spanien-gefaengnis-rap-texte
	Schon mehrfach war Hasél wegen entsprechender Rap-Texte und Tweets zu Gefängnisstrafen verurteilt worden, ohne dass er die Haft jemals antreten musste. Diesmal sollte er neun Monate kriegen, und erstmals zeigte die Justiz sich entschlossen, das Urteil auch umzusetzen.	article	https://www.zeit.de/2021/09/pablo-hasel-spanien-gefaengnis-rap-texte
	Hasél verbarrikadierte sich auf dem Campus der Universität von Lleida und ließ sich schließlich mit erhobener Faust von der Polizei abführen. Seither demonstrieren seine Fans, aber auch viele spanische Jugendliche, die mit den Verhältnissen generell unzufrieden sind – erst in Barcelona, Lleida und anderen katalanischen Städten, inzwischen auch in Madrid, Palma de Mallorca und anderswo.	article	https://www.zeit.de/2021/09/pablo-hasel-spanien-gefaengnis-rap-texte
	In Spanien gehört Hasél seit anderthalb Jahrzehnten zu den kontroversesten Künstlerfiguren. In Deutschland war er bislang kaum bekannt. Dabei pflegt er ein liebevolles Verhältnis zur deutschen Geschichte oder genauer gesagt: zur Geschichte des westdeutschen Terrorismus.	article	https://www.zeit.de/2021/09/pablo-hasel-spanien-gefaengnis-rap-texte
	Ein Album von Hasél aus dem Jahr 2011 trägt den Titel Un cafe con Gudrun Ensslin, auf dem Cover sieht man die Mitbegründerin der Rote Armee Fraktion lächelnd, Kaffee trinkend und rauchend vor der Silhouette eines Maschinengewehrs.	article	https://www.zeit.de/2021/09/pablo-hasel-spanien-gefaengnis-rap-texte
	"Das ganze Album ist eine Hommage. ""Die RAF war eine Guerilla, die in den Siebzigern bis Neunzigern in Deutschland operierte und den imperialistischen und bürgerlichen Staat in Schach hielt. Sie genoss große Unterstützung durch die Bevölkerung"", so erklärt Hasél für sein junges Publikum die Geschichte."	article	https://www.zeit.de/2021/09/pablo-hasel-spanien-gefaengnis-rap-texte
