User	topic	link	utterance	Effekt
Hanno Leichtmann	music		studer kann einpacken	lecture
Jo Seifried	health		Ich sage nur, ein Machwerk von Total Versager. Und sowas kassiert noch 10000 € Diäten im Monat	dissence
Susan Roland	health		Kommt etwas spät! Hätte letzten Monat schon angesetzt werden müssen.	lecture
Miro K.	technology	https://www.thomann.de/de/ableton_push_2.htm	Sehr gute Haptik, das Display ist genial, die Pads spielen sich echt gut	praise
Miro K.	technology	https://www.thomann.de/de/ableton_push_2.htm	Es macht wirklich Spass.	praise
Miro K.	technology	https://www.thomann.de/de/ableton_push_2.htm	Man kann Ableton wirklich zum größten Teil ohne auf den Laptop zu sehen benutzen	praise
Miro K.	technology	https://www.thomann.de/de/ableton_push_2.htm	Ich hatte wohl ein bisschen Pech mit den Geräten die ich bekommen habe	concession
Miro K.	technology	https://www.thomann.de/de/ableton_push_2.htm	Beim letzten Gerät ist der Tempo Poti so locker gesessen, dass ich ihn sofort in der Hand hatte	dissence
Miro K.	technology	https://www.thomann.de/de/ableton_push_2.htm	normalerweise sind die Potis schön fest und doch geschmeidig und hier sind manche so ultra leichtgängig mit nem Kratzen, die fühlen sich sehr billig an, andere die gewohnte Qualität	lecture
Miro K.	technology	https://www.thomann.de/de/ableton_push_2.htm	Das war aber nur bei dem letzten Gerät, die ersten beiden hatten perfekte Potis.	concession
Miro K.	technology	https://www.thomann.de/de/ableton_push_2.htm	Thoman hat sich jeweils sehr schnell um den Umtausch gekümmert	praise
Miro K.	technology	https://www.thomann.de/de/ableton_push_2.htm	Fazit: ich habe alles probiert um ein technisch einwandfreies Gerät zu bekommen, weil es mir an sich sehr gefällt	concession
Miro K.	technology	https://www.thomann.de/de/ableton_push_2.htm	Laut Thomann ist die schlechte Qualität der Potis normal, das sollte man vor dem Kauf wissen	lecture
Pan0007	environment	https://www.zeit.de/campus/2020-11/luisa-neubauer-fridays-for-future-klimakrise-aktivismus-podcast	Ich glaube, dass gewisse Menschen tatsächlich von einem Podcast besser erreicht werden können als von einer Partei	concession
Pan0007	environment	https://www.zeit.de/campus/2020-11/luisa-neubauer-fridays-for-future-klimakrise-aktivismus-podcast	Gleichzeitig werden aber ohnehin grün-eingestellte Menschen den Podcast hören.	lecture
Amac	technology	https://www.thomann.de/de/ableton_live_10_standard.htm	Super gute DAW.	praise
Walter302	technology	https://www.thomann.de/de/steinberg_cubase_elements_10.htm	Na gut, dann eben ein Download.	concession
Walter302	technology	https://www.thomann.de/de/steinberg_cubase_elements_10.htm	Katastrophales Installierung- und Lizensierungsprocedere	dissence
Walter302	technology	https://www.thomann.de/de/steinberg_cubase_elements_10.htm	Was ist nur aus diesem einstmals so innovativem Produkt geworden???	dissence
Ziach'n Klaus	technology	https://www.thomann.de/de/steinberg_cubase_elements_10.htm	Bei der Installation (über 4 Stunden download) traten bereits erste Probleme auf, Fehlermeldungen ohne Ende.	dissence
Ziach'n Klaus	technology	https://www.thomann.de/de/steinberg_cubase_elements_10.htm	Der freundliche Thomann Mitarbeiter konnte mir leider auch nicht weiterhelfen	concession
Ziach'n Klaus	technology	https://www.thomann.de/de/steinberg_cubase_elements_10.htm	Alles muss irgendwie hinzugefügt werden	dissence
Ziach'n Klaus	technology	https://www.thomann.de/de/steinberg_cubase_elements_10.htm	Sämtliche Werkzeuge, Mixer, Effekte usw. sind irgendwo versteckt und müssen erst irgendwie aktiviert bzw. hinzugefügt werden	dissence
Ziach'n Klaus	technology	https://www.thomann.de/de/steinberg_cubase_elements_10.htm	Bedienung mehr als unübersichtlich-leider	dissence
Ziach'n Klaus	technology	https://www.thomann.de/de/steinberg_cubase_elements_10.htm	Man muss sich erst über Stunden einarbeiten um das System zu verstehen zu konfigurieren und um überhaupt mal aufnehmen zu können	dissence
Ziach'n Klaus	technology	https://www.thomann.de/de/steinberg_cubase_elements_10.htm	Der Profi wird sicher eine wesentlich teure Version sein eigen nennen und auch über meine Probleme sicher lachen	insinuation
Ziach'n Klaus	technology	https://www.thomann.de/de/steinberg_cubase_elements_10.htm	Ich bin Musiker und kein Studiomensch wie viele andere auch	lecture
Ziach'n Klaus	technology	https://www.thomann.de/de/steinberg_cubase_elements_10.htm	Ich denke eine DAW unter 100 Euro sollte einfach und bedienerfreundlich aufgebaut sein	lecture
Ziach'n Klaus	technology	https://www.thomann.de/de/steinberg_cubase_elements_10.htm	man sollte zurecht kommen können	lecture
Ziach'n Klaus	technology	https://www.thomann.de/de/steinberg_cubase_elements_10.htm	man benötigt auch nicht 1000 Funktionen	lecture
Ziach'n Klaus	technology	https://www.thomann.de/de/steinberg_cubase_elements_10.htm	wer nicht sollte sich mal Musicmaker ansehen, wenns nur darum geht ein paar Demos aufzunehmen	lecture
Basti7	technology	https://www.thomann.de/de/steinberg_cubase_elements_10.htm	Für einen wirklich überschaubaren Preis bietet diese Einstiegsversion jede Menge Features	praise
Basti7	technology	https://www.thomann.de/de/steinberg_cubase_elements_10.htm	Es gibt einen Drumcomputer, einen Synthie und vieles mehr	praise
Basti7	technology	https://www.thomann.de/de/steinberg_cubase_elements_10.htm	Für die ersten Aufnahmen und Soundbasteleien ist das Cubase Elements meiner Einschätzung nach mehr als ausreichend und wirklich ein faires Angebo	praise
Basti7	technology	https://www.thomann.de/de/steinberg_cubase_elements_10.htm	Nur verlangt es dem Rechner einiges an Rechenleistung ab	concession
Basti7	technology	https://www.thomann.de/de/steinberg_cubase_elements_10.htm	mir fehlt da aber der Vergleich zu anderen Softwares, muss ich fairerweise dazu sagen	concession
Basti7	technology	https://www.thomann.de/de/steinberg_cubase_elements_10.htm	Und der Installationsprozess mutet (unnötig) kompliziert an	dissence
Soletan	politics	https://www.zeit.de/campus/2020-11/luisa-neubauer-fridays-for-future-klimakrise-aktivismus-podcast	Anstatt nur aus einer dieser Sphären heraus zu kritteln könnte man auch daran arbeiten, beide Sphären näherzubringen	lecture
Soletan	politics	https://www.zeit.de/campus/2020-11/luisa-neubauer-fridays-for-future-klimakrise-aktivismus-podcast	Irgendwie finde ich den Part über die Ablehnung einer Politikerkarriere unglaubwürdig	dissence
Soletan	politics	https://www.zeit.de/campus/2020-11/luisa-neubauer-fridays-for-future-klimakrise-aktivismus-podcast	Vielleicht ist es aber auch umgekehrt so, dass Siebtklässler und Frau Neubauer die Probleme von Parlamentariern und Vorstandsvorsitzenden nicht verstehen	insinuation
Soletan	politics	https://www.zeit.de/campus/2020-11/luisa-neubauer-fridays-for-future-klimakrise-aktivismus-podcast	oder man versucht einfach mal, nicht nur aus der eigenen Sphäre heraus anderen Vorwürfe zu machen	lecture
otterosch	health	https://www.zeit.de/zeit-magazin/leben/2020-11/corona-herbst-home-office-frieren-lockdown-kaelte-winter-zuhause	Ein Thermometer muss her	lecture
otterosch	health	https://www.zeit.de/zeit-magazin/leben/2020-11/corona-herbst-home-office-frieren-lockdown-kaelte-winter-zuhause	Wenn man bei 23° friert, merkt man, dass es nicht an der Heizung liegt.	lecture
otterosch	health	https://www.zeit.de/zeit-magazin/leben/2020-11/corona-herbst-home-office-frieren-lockdown-kaelte-winter-zuhause	Warme Getränke (wie im Artikel gesagt)	lecture
otterosch	health	https://www.zeit.de/zeit-magazin/leben/2020-11/corona-herbst-home-office-frieren-lockdown-kaelte-winter-zuhause	Bewegung!	lecture
otterosch	health	https://www.zeit.de/zeit-magazin/leben/2020-11/corona-herbst-home-office-frieren-lockdown-kaelte-winter-zuhause	Wenn ich joggen gehe, frierr ich den ganzen Tag nicht mehr.	lecture
Constructivecriticism	health	https://www.zeit.de/zeit-magazin/leben/2020-11/corona-herbst-home-office-frieren-lockdown-kaelte-winter-zuhause	Ich dusche seit vielen Jahren jeden Morgen die letzten 5-30 Sekunden immer eiskalt (ganzer Körper	lecture
Constructivecriticism	health	https://www.zeit.de/zeit-magazin/leben/2020-11/corona-herbst-home-office-frieren-lockdown-kaelte-winter-zuhause	Es gibt keine bessere Möglichkeit 5-30 Sekunden sinnvoll zu nutzen !	lecture
Abondi	health	https://www.zeit.de/zeit-magazin/leben/2020-11/corona-herbst-home-office-frieren-lockdown-kaelte-winter-zuhause	Abnehmen sollte man nicht dadurch, dass man weniger isst als Hunger da ist, sondern in dem man das Makronährstoffverhältnis änder	lecture
Abondi	health	https://www.zeit.de/zeit-magazin/leben/2020-11/corona-herbst-home-office-frieren-lockdown-kaelte-winter-zuhause	"Ansonsten gilt das was hier zur Kälte gesagt wurde auch im Sommer wenn es ""zu warm"" ist."	lecture
Abondi	health	https://www.zeit.de/zeit-magazin/leben/2020-11/corona-herbst-home-office-frieren-lockdown-kaelte-winter-zuhause	Nur die Konfrontation mit Wärme/Kälte steigert die Temperaturtoleranz im Allgemeinen.	lecture
MrCase	health	https://www.zeit.de/wissen/gesundheit/2020-04/joggen-gesundheit-laufen-ungesund/seite-3#infobox-laufstil-2-tab	Bitte nicht einfach so mit irgendwelchen Studien rumwerfen, ohne diese zu lesen und zu hinterfragen und auf die Qualität zu prüfen.	lecture
MrCase	health	https://www.zeit.de/wissen/gesundheit/2020-04/joggen-gesundheit-laufen-ungesund/seite-3#infobox-laufstil-2-tab	So wie hier. Das ist kein Grund, das ist eine Annahme.	lecture
MrCase	health	https://www.zeit.de/wissen/gesundheit/2020-04/joggen-gesundheit-laufen-ungesund/seite-3#infobox-laufstil-2-tab	"Das ist eine Observationsstudie, kann hier bitte der ""Beweis"" zitiert werden?"	lecture
meden agan	health	https://www.zeit.de/wissen/gesundheit/2020-04/joggen-gesundheit-laufen-ungesund/seite-3#infobox-laufstil-2-tab	Auf den Körper hören. Fertig.	lecture
meden agan	health	https://www.zeit.de/wissen/gesundheit/2020-04/joggen-gesundheit-laufen-ungesund/seite-3#infobox-laufstil-2-tab	Im Kern sind die obigen Analysen richtig.	concession
meden agan	health	https://www.zeit.de/wissen/gesundheit/2020-04/joggen-gesundheit-laufen-ungesund/seite-3#infobox-laufstil-2-tab	Ganz richtig	praise
s.hendricks	health	https://www.zeit.de/wissen/gesundheit/2020-04/joggen-gesundheit-laufen-ungesund/seite-3#infobox-laufstil-2-tab	Gemächlich beginnen, gern auch mit Gehpausen und langsam steigern	lecture
s.hendricks	health	https://www.zeit.de/wissen/gesundheit/2020-04/joggen-gesundheit-laufen-ungesund/seite-3#infobox-laufstil-2-tab	"Als Einsteiger nicht auf den km-Schnitt achten; die Geschwindigkeit ist zunächst irrelevant"	lecture
s.hendricks	health	https://www.zeit.de/wissen/gesundheit/2020-04/joggen-gesundheit-laufen-ungesund/seite-3#infobox-laufstil-2-tab	Ignorieren Sie (vorerst) die technischen Hilfsmittel, die Sie zu irgendwas zwingen	lecture
s.hendricks	health	https://www.zeit.de/wissen/gesundheit/2020-04/joggen-gesundheit-laufen-ungesund/seite-3#infobox-laufstil-2-tab	Auf den eigenen Körper hören: Herausfinden, was einem gut tut - und was nicht!	lecture
s.hendricks	health	https://www.zeit.de/wissen/gesundheit/2020-04/joggen-gesundheit-laufen-ungesund/seite-3#infobox-laufstil-2-tab	Perspektivisch vielleicht einen Volkslauf anvisieren. Das motiviert.	lecture
s.hendricks	health	https://www.zeit.de/wissen/gesundheit/2020-04/joggen-gesundheit-laufen-ungesund/seite-3#infobox-laufstil-2-tab	Fernhalten von jeglicher Militanz in Sachen Sport. Es geht um Lebensfreude, nicht um vermeintliche Leistungsziele	lecture
s.hendricks	health	https://www.zeit.de/wissen/gesundheit/2020-04/joggen-gesundheit-laufen-ungesund/seite-3#infobox-laufstil-2-tab	"Sofern sie regelmäßig laufen; kaufen Sie sich mind. 2 Paar verschiedener Laufschuhe"	lecture
DJ Mischko	music	https://soundcloud.com/bphisto/handschellenremix?in=mahmoud-ashour-203632322/sets/deutsche-lieder	Überragende Arbeit geleistet Jungs ! 	praise
Evi	music	https://soundcloud.com/the-real-gag/keine-ist-wie-du-remix?in=mahmoud-ashour-203632322/sets/deutsche-lieder	jawoll	praise
waltlenggenhager	music	https://soundcloud.com/the-real-gag/keine-ist-wie-du-remix?in=mahmoud-ashour-203632322/sets/deutsche-lieder	einfach nur Klasse	praise
Mirko	music	https://soundcloud.com/the-real-gag/keine-ist-wie-du-remix?in=mahmoud-ashour-203632322/sets/deutsche-lieder	Das Geilste ever	praise
CHAMELEON	music	https://soundcloud.com/the-real-gag/keine-ist-wie-du-remix?in=mahmoud-ashour-203632322/sets/deutsche-lieder	good sounds	praise
Papé_DaEuLeR	music	https://soundcloud.com/the-real-gag/keine-ist-wie-du-remix?in=mahmoud-ashour-203632322/sets/deutsche-lieder	Phänomenal	praise
