	Unnamed: 0	platform	phase/arg_situation	method	adressee, reference	function	intent	impl_expl	pos_neg	easy translation	User	topic	link	connected	utterance	Effekt	lecture	praise	insinuation	dissence	concession	td-type
0			argumentation	framing	person	expressive	framing	0,65	0,56	that is how it is	Stan Laurel	human_rights			Merkel war und ist hier eine getriebene	insinuation	0.4	0,05	0.75	0,2	0,01	ml
1		Zeit	confrontation	ad_hominem	opponent	phatic	weaken	0,75	0,23	you don't deserve an answer		unknown			Das ist doch albern.	lecture	0.73	0,02	0.05	0,5	0,05	ml
2		Zeit	confrontation	expressivum	opponent	expressive	rejecting	0,83	0,26	you are silly to say this		unknown			Dass ich nicht lache	dissence	0.48	0,05	0.05	0,79	0,1	ml
3		Zeit	confrontation	ad_hominem-indirect	opponent	phatic	weaken	0,85	0,25	you are too dumb to understand		unknown			Sie haben schlicht gar nichts begriffen.	lecture	0.78	0,01	0.2	0,4	0,03	ml
4		Zeit	confrontation	ad_hominem	opponent	phatic	weaken	0,83	0,23	you don't deserve an answer		unknown			Stellen Sie sich nicht dumm	lecture	0.78	0,01	0.57	0,43	0,01	ml
5		Youtube	confrontation	ad_populum	group	expressive	joking	0,54	0,25	i like it	KK KK	politics			Paragraphen-Nachhilfe für Nazis	insinuation	0.07	0,01	0.3	0,19	0,01	ml
6		Facebook	confrontation	ad_populum	person	appellative	framing	0,94	0,45	don't feed the troll	Maren Ylönen	nature			DON'T FEED THE TROLL!!	insinuation	0.5	0,01	0.66	0,37	0,08	ml
7			argumentation	ad_hominem-indirect	opponent	expressive	indicating	0,56	0,47	you need to understand					Dann werden Sie sicherlich verstehen, warum von diesen keine neutrale Untersuchung der Hamas-Attacken zu erwarten ist.	lecture	0.73	0,07	0.11	0,32	0,08	ml
8			argumentation	ad_hominem-indirect	opponent	expressive	indicating	0,84	0,35	you need to understand					Sie sollten sich mein Posting noch einmal in Ruhe anschauen	lecture	0.89	0,01	0.54	0,44	0,03	ml
9			conclusion	expressivum	opponent	phatic	thanking	0,88	0,94	thanks					Gott sei dank, Dankeschön!	praise	0.04	0,8	0.03	0,01	0,12	ml
10		Facebook	conclusion	evaluation	article	phatic	indignating	0,86	0,23	this is not cool	Walter Gate	public_space			ich entfreunde mich jetzt , so einen infantilen Scheiß kann ich nicht mehr ertragen	dissence	0.41	0,01	0.35	0,84	0,34	ml
19		Zeit	confrontation	ad_populum	opponent	expressive	assessing	0,78	0,37	nobody agrees with you		unknown			Na, mit Ihrer Meinung stehen Sie ziemlich alleine da.	dissence	0.48	0,01	0.28	0,75	0,1	ml
23		Zeit	conclusion	ad_verecundiam	opponent	phatic	weaken	0,87	0,28	you need to understand		unknown			Sie haben schlicht gar nichts begriffen.	insinuation	0.68	0,01	0.77	0,53	0,02	ml
