user	topic	link	utterance	category
Stan Laurel	human_rights		Merkel war und ist hier eine getriebene	insinuation
	unknown		Das ist doch albern.	lecture
	unknown		Dass ich nicht lache	dissence
	unknown		Sie haben schlicht gar nichts begriffen.	lecture
	unknown		Stellen Sie sich nicht dumm	lecture
KK KK	politics		Paragraphen-Nachhilfe für Nazis	insinuation
Maren Ylönen	nature		DON'T FEED THE TROLL!!	insinuation
			Dann werden Sie sicherlich verstehen, warum von diesen keine neutrale Untersuchung der Hamas-Attacken zu erwarten ist.	lecture
			Sie sollten sich mein Posting noch einmal in Ruhe anschauen	lecture
			Gott sei dank, Dankeschön!	praise
Walter Gate	public_space		ich entfreunde mich jetzt , so einen infantilen Scheiß kann ich nicht mehr ertragen	dissence
	unknown		Na, mit Ihrer Meinung stehen Sie ziemlich alleine da.	dissence
	unknown		Sie haben schlicht gar nichts begriffen.	insinuation
	unknown		"Warum müssen Sie denn Menschen, die Ihren Geschmack nicht teilen, als ""Wohlstandsspießer"" beschimpfen und herabsetzen?"	insinuation
	unknown		Eine geballte Ladung Binsenweisheiten	insinuation
	unknown		erwarten Sie von mir keine ernsthafte Erwiderung.	dissence
	unknown		sowas kann ich nicht ernst nehmen	dissence
	environment		Mit Bibelzitaten argumentieren? Ernsthaft??	dissence
	unknown		Sorry, solche Aussagen kann ich nicht ernst nehmen.	dissence
	environment		mehr ist zur Glaubwürdigkeit dieser „Kritikerszene“ nicht zu sagen.	dissence
	environment		solche Kleingeister wie Sie	lecture
	politics		Das ist komplett verlogen und für die Demokratie brandgefährlich	insinuation
	politics		Immer diese unbewiesene Theorien	dissence
klar	environment		Grünen-Wähler übernehmen ob gut oder schlecht wahrscheinlich einfach eher Verantwortung für das Gemeinwohl	concession
klar	environment		Den Typus Mensch der grün wählt aber SUV fährt gibt es natürlich dennoch	insinuation
dasfred	environment		Mein Gott ist das fies	praise
dasfred	environment		Wie kann man einfach so unsere Vorurteile kaputt machen	praise
dasfred	environment		Jetzt muss Dieter Nuhr doch glatt ein Drittel seiner Pointen streichen. 	insinuation
dasfred	environment		Wohlstand ist, durch eine intakte Landschaft zu wandern und nicht, beim Edel-Italiener Cocktails für dreißig Euro zu schlürfen	insinuation
nomadas	environment		Genau der und seine Kumpels, Kretsch und Fritz sind die RealoGrünen, in engster CDU Zusammenarbeit , also mit den meisten SUV' lern	insinuation
nomadas	environment		Indirekt stimmt der Zusammenhang also doch, dear Spon	dissence
nomadas	environment		Sie wollen den SUV mit Sauerstoff aus dem Auspuff	insinuation
nomadas	environment		Wir können alles, ausser Hochdeutsch	lecture
im_zweifel_linksradikal	environment		Ich wohne im Berlin Prenzlauer Berg und darf ihnen mit gewissenhafter Überzeugung widersprechen	dissence
im_zweifel_linksradikal	environment		Auf jeden Fall immer so ökologisch wie ein Christinanenfahrrad oder wie die heißen auf einem 1,10m breitem Radweg	insinuation
im_zweifel_linksradikal	environment		Das schönste ist aber dass diese Gefährten 5/7 Tagen auf dem selben Parkplatz stehen weil Mensch ja Anwohnerplakette und 'ne Umweltkarte hat...	insinuation
im_zweifel_linksradikal	environment		Ist es kein SUV dann ist's ein T6 Caravelle oä	insinuation
felisconcolor	history		ist bestimmt ein großartiges Dokument und ich traue Peter Jackson da eine virtuose Handwerkskunst zu	praise
felisconcolor	history		Ja so wird man den Ersten Weltkrieg noch nie gesehen haben	concession
felisconcolor	history		Schade ist nur das gerade der geschichtliche Kontext die zu diesem Massaker geführt haben wieder nicht wenigstens am Rande mit eingefügt wird	dissence
felisconcolor	history		Da bot neulich das Interview mit dem Historiker weitaus mehr Futter.	praise
felisconcolor	history		Aber die Nachwirkungen des Versailler Vertrags haben tatsächlich heute noch Gewicht	concession
felisconcolor	history		Man muss schon nach guten Dokumentationen suchen in denen die ganzen politischen Verstrickungen aufgedröselt werden	concession
JonHH	history		Unbedingt sehenswert	praise
JonHH	history		Halb Film, halb Reportage, mit einem ganz eigenen Erzählstil und -tempo	concession
JonHH	history		Man fühlt sich teilweise in eine Zeitmaschine versetzt, als würde man aus der Beobacherperspektive neben den Soldaten von damals stehen	praise
JonHH	history		Diese persönliche Perspektive, wie auch die so noch nie gesehen Digitalisierung uralter Aufnahmen, vermittelt ein unglaublich nahes und lebendiges Bild	praise
JonHH	history		das geht unter die Haut	praise
JonHH	history		Man geht nicht nur gerührt aus dem Film, sondern auch mit einem ganz neuen Blick auf eine der tragischsten Epochen unserer jüngeren Vergangenheit	praise
JonHH	history		Prädikat wertvoll	praise
gehmlich	history		Ich habe den Film bereits auf BBC gesehen	lecture
gehmlich	history		wundere mich daher, warum SPON erst jetzt, mehrere Monate, nach Veröffentlichung erst darüber berichtet	lecture
gehmlich	history		Achtung Spoiler: Achtet mal darauf, wann aus schwarz/weiß Aufnahmen Farbige werden	lecture
timelock	history		Ich habe ein paar original Stereo Positive von 1917/1922 erworben, die beinahe so etwas sind wie in Glas konservierte Zeit	lecture
	site		und es macht spass, in den Sachen zu stöbern	praise
	site		ganz toll und dann auch noch so praktisch	praise
	site		ich konnte meine Lampe reparieren lassen	praise
	unknown		Wunderbar, diese Sachen hier	praise
	unknown		Ich muss sagen, dass das ein wirklich gelungener Konter war	concession
	unknown		Neben weiteren guten Vorschlägen der Kommentierenden halte ich Ihren Vorschlag 1 für äußerst gelungen	praise
	unknown		Wenn etwas anmaßend ist, dann der Artikel	concession
	unknown		Ein guter Artikel zum Thema	praise
	unknown		Lob dafür	concession
	unknown		Liest man momentan leider wirklich selten so objektiv	concession
	unknown		Ich wünsche mir mehr Artikel solcher Qualität zum Thema	concession
	unknown		Eine ziemlich gute Erklärung von Bitcoin und Blockchain	concession
	unknown		Liest man selten	concession
	unknown		und der Autor merkt diesen inneren Widerspruch nicht einmal	insinuation
dinah	art		Was soll der Scheiß Kopfkakke!	dissence
elek	art		gut gut gut gut sehr gut	praise
elek	art		sehr gut, sehr gut, ausgezeichnet	praise
heike	art		Ich bin voll genervt, es passiert nichts hier	dissence
heike	art		wirklich aufreibend und langatmig. ich dachte, ich dirigiere hier?	dissence
Heidi Kosche	public_space		Walter Gate , infantiler Scheiss ? Und wie bezeichnen Sie dann die Bilder auf ihrer FB-Seite ??	lecture
Luc Tonerre	public_space		Pragmatische Lösung, während andere immer nur meckern.	praise
Christine Müller	public_space		Sehe ich genauso @LucTonerre und	concession
Ingo Arend	public_space		Leuchtet mir vollkommen ein	concession
Ingo Arend	public_space		Originelle Idee, ästhetisch anspruchsvoll, nachhaltiges Material	praise
Ingo Arend	public_space		Eine gute Aktion	praise
Sander Elf	public_space		Dankeschön	praise
Seebrücke Kiel	human_rights		Freiheit für Carola Rackete!	praise
Brigitte Crombusch	human_rights		Seebrücke Kiel	praise
Anne Ham	human_rights		Wer bewusst gegen Gesetze verstößt, muss die Konsequenzen tragen	lecture
Anne Ham	human_rights		"Da kann man nicht einfach ""Freiheit"" schreien ..."	dissence
