user	topic	link	utterance	category
Unknown	politics	https://www.spiegel.de/politik/deutschland/corona-und-die-maskenpflicht-debatte-mass-und-maske-kolumne-a-361f6d56-0275-4847-82e2-63c84b6d399f#kommentare	Schöne ausführliche Zusammenfassung.	praise
Unknown	politics	https://www.spiegel.de/wissenschaft/mensch/klimawandel-die-deutsche-industrie-ist-verzweifelt-a-a1eb1070-4914-4a0f-8aff-ac38b3db31fc#kommentare	Selten einen solchen Mist gelesen Herr Stöker !!!	dissence
Unknown	politics	https://www.spiegel.de/wissenschaft/mensch/klimawandel-die-deutsche-industrie-ist-verzweifelt-a-a1eb1070-4914-4a0f-8aff-ac38b3db31fc#kommentare	Absolut Richtig! 	praise
Unknown	politics	https://www.spiegel.de/politik/ausland/parteitag-der-republikaner-donald-trump-startet-seine-comeback-show-a-a320da42-99a5-4545-8679-05481eb11498#kommentare	Ach kommen sie sie wissen schon das die meisten Studien nur die Meinung ihrer Auftraggeber spiegeln.	"lecture
"
Unknown	politics	https://www.spiegel.de/politik/ausland/parteitag-der-republikaner-donald-trump-startet-seine-comeback-show-a-a320da42-99a5-4545-8679-05481eb11498#kommentare	Sie treffen den Nagel auf den Kopf.	praise
FredII	politics	https://www.sueddeutsche.de/politik/ihr-forum-wie-lassen-sich-die-verhaeltnisse-in-sachsen-verbessern-1.3220973	Ich meine schon. dass Ihnen da einiges entgangen ist	insinuation
kilpikonna	politics	https://www.sueddeutsche.de/politik/ihr-forum-wie-lassen-sich-die-verhaeltnisse-in-sachsen-verbessern-1.3220973	"""Kritik an Sachsen fällt oft zu pauschal aus"" - soweit stimme ich völlig zu."	concession
FredII 	politics	https://www.sueddeutsche.de/politik/ihr-forum-wie-lassen-sich-die-verhaeltnisse-in-sachsen-verbessern-1.3220973	Terroristen kommen nicht nur als Flüchtlinge hierher. Wir haben davon doch selbst schon zu viele.	lecture
herrvonfrueher	politics	https://www.tagesspiegel.de/gesellschaft/medien/diskussion-um-afd-talks-mdr-kuendigt-hoecke-interview-an/26121396.html#kommentare	Vielleicht sollte Herr Restle nicht von sich auf andere schließen.	insinuation
Gophi	politics	https://www.tagesspiegel.de/gesellschaft/medien/diskussion-um-afd-talks-mdr-kuendigt-hoecke-interview-an/26121396.html#kommentare	So sehe ich das auch.	praise
